name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Raleigh, NC",2023-07-28,95.2,76.5,85.9,108,76.5,92.4,73.8,68.8,0,0,0,,0,0,19.5,15.3,221.6,1019.2,41.5,9.6,278.9,24,10,60,2023-07-28T06:19:12,2023-07-28T20:22:38,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLHZ,72214103731,72213103713,1327W,KRDU,72306013722"
"Raleigh, NC",2023-07-29,91.8,77.9,83.7,103.2,77.9,89.1,74,73.5,0,0,0,,0,0,25.3,16.2,228.6,1016.4,66.5,9.5,217.1,18.9,9,60,2023-07-29T06:19:57,2023-07-29T20:21:48,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLHZ,72214103731,72213103713,1327W,KRDU,72306013722"
"Raleigh, NC",2023-07-30,88.7,75.2,81.4,92.3,75.2,83.1,69.1,67.5,0,0,0,,0,0,20.8,12,33.7,1013.9,60.1,9.5,257.7,22.3,10,10,2023-07-30T06:20:43,2023-07-30T20:20:58,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLHZ,72214103731,72213103713,1327W,KRDU,72306013722"
"Raleigh, NC",2023-07-31,89.3,68.6,77.3,91.5,68.6,78.1,67.2,73.1,0.969,100,20.83,rain,0,0,34.9,10.4,7.9,1015.7,51.4,8.8,226.5,19.4,8,10,2023-07-31T06:21:29,2023-07-31T20:20:05,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KLHZ,72214103731,72213103713,1327W,KRDU,72306013722"
"Raleigh, NC",2023-08-01,86.5,68.1,76,87,68.1,76.4,65.2,72.1,0,0,0,,0,0,19.7,10.8,45.3,1019,39,9.4,273.9,23.7,10,10,2023-08-01T06:22:16,2023-08-01T20:19:12,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLHZ,72214103731,72213103713,1327W,KRDU,72306013722"
"Raleigh, NC",2023-08-02,83.5,61.7,73.8,83,61.7,73.8,60.4,65.7,0,0,0,,0,0,10.3,7.3,66.5,1022.2,32.2,9.6,252,21.8,8,10,2023-08-02T06:23:02,2023-08-02T20:18:17,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLHZ,72214103731,72213103713,1327W,KRDU,72306013722"
"Raleigh, NC",2023-08-03,78,69.1,73.3,78,69.1,73.3,61.7,67.3,0,0,0,,0,0,10.3,7.4,163.3,1019.3,89.7,9.8,96.5,8.4,3,10,2023-08-03T06:23:49,2023-08-03T20:17:20,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLHZ,72214103731,72213103713,1327W,KRDU,72306013722"
"Raleigh, NC",2023-08-04,79.7,71,74.8,79.7,71,74.8,69.8,84.5,0.075,100,29.17,rain,0,0,10.3,6.2,195.4,1013.5,94.1,7.9,80.1,6.9,4,10,2023-08-04T06:24:35,2023-08-04T20:16:23,0.6,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"KLHZ,72214103731,72213103713,1327W,KRDU,72306013722"
"Raleigh, NC",2023-08-05,90.6,68.6,78.8,94.8,68.6,80.9,69.1,75.1,0,0,0,,0,0,9.2,10.7,54,1014.6,57.6,7.2,290.5,25.2,10,10,2023-08-05T06:25:22,2023-08-05T20:15:24,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLHZ,72214103731,72213103713,1327W,KRDU,72306013722"
"Raleigh, NC",2023-08-06,92.4,71.3,80.9,98.6,71.3,83.3,70.1,72.7,0.031,100,8.33,rain,0,0,30.6,11.7,171.9,1015.4,43.7,9.4,288.9,25,9,10,2023-08-06T06:26:09,2023-08-06T20:14:23,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KLHZ,72214103731,72213103713,1327W,KRDU,72306013722"
"Raleigh, NC",2023-08-07,88.4,73.2,78.7,98.8,73.2,81.2,72.9,83.4,0.192,100,8.33,rain,0,0,45.9,13.4,223.5,1012.6,72.8,9.4,214.9,18.6,10,30,2023-08-07T06:26:56,2023-08-07T20:13:22,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KLHZ,72214103731,1328W,72213103713,1327W,KRDU,72306013722,0425W"
"Raleigh, NC",2023-08-08,88.6,71.7,79,92.6,71.7,80.5,69.2,73.9,0.117,100,4.17,rain,0,0,19.7,11.9,257.4,1011.5,72,9.9,241.9,20.7,9,10,2023-08-08T06:27:43,2023-08-08T20:12:19,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KLHZ,72214103731,72213103713,1327W,KRDU,72306013722,0425W"
"Raleigh, NC",2023-08-09,88.6,68.2,78.9,90.7,68.2,79.5,64.8,64,0,0,0,,0,0,11.4,7.4,290.7,1012.8,46.6,9.9,306.8,26.6,10,10,2023-08-09T06:28:30,2023-08-09T20:11:15,0.77,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KLHZ,72214103731,72213103713,1327W,KRDU,72306013722,0425W"
"Raleigh, NC",2023-08-10,84,73.4,77.9,89.5,73.4,79.5,69.7,76.2,0.33,100,12.5,rain,0,0,23,14.3,232.4,1009.1,71.9,9.4,152,13.2,10,30,2023-08-10T06:29:17,2023-08-10T20:10:10,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"KLHZ,72214103731,1328W,72213103713,1327W,KRDU,72306013722,0425W,F3724"
"Raleigh, NC",2023-08-11,86.7,66.9,77.9,88.5,66.9,79,67.1,71.5,0,0,0,,0,0,12.8,6.7,276.7,1012.2,45.5,9.9,197,16.9,8,10,2023-08-11T06:30:04,2023-08-11T20:09:04,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLHZ,72214103731,72213103713,1327W,KRDU,72306013722,0425W,F3724"
"Raleigh, NC",2023-08-12,94.4,69.8,81.5,102.2,69.8,84.7,70,70.5,0,0,0,,0,0,9.2,8.2,239.9,1013.7,52.9,9.7,193.5,16.7,10,30,2023-08-12T06:30:51,2023-08-12T20:07:57,0.87,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KLHZ,72214103731,72213103713,1327W,KJNX,KRDU,72306013722,0425W,F3724"
"Raleigh, NC",2023-08-13,95.7,74.8,85,102,74.8,88.6,71.3,65.8,0,0,0,,0,0,10.3,11.1,255.9,1014.5,43.1,9.8,286.4,24.6,9,30,2023-08-13T06:31:39,2023-08-13T20:06:48,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLHZ,72214103731,1328W,72213103713,1327W,KRDU,72306013722,0425W"
"Raleigh, NC",2023-08-14,96.8,76,84.3,109.8,76,90.1,73.8,72.2,0.001,100,4.17,rain,0,0,18.3,11.5,222,1014.2,65.5,9.6,177.4,15.3,8,60,2023-08-14T06:32:26,2023-08-14T20:05:39,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KLHZ,72214103731,72213103713,1327W,KRDU,72306013722,0425W"
